地名,センター,不燃ごみ,不燃ごみ,古紙類・生きびん,空き缶・ﾍﾟｯﾄﾎﾞﾄﾙ・ｶﾞﾗｽびん
松元台,9,火 金,木2 木4,水2 水4,木1 木3
松森,10,月 木,金2 金4,火2 火4,金1 金3
松森団地,10,月 木,金2 金4,火2 火4,金1 金3
松森町,1,火 金,月1 月3,木2 木4,月2 月4
馬屋尻,3,火 金,水1 水3,月1 月3,水2 水4
㈱マリモ建物管理本部青森事務所,4,火 金,木1 木3,月2 月4,木2 木4
三上町,11,月 木,水2 水4,金2 金4,水1 水3
御園町,7,月 木,火2 火4,金1 金3,火1 火3
みちのく,6,火 金,月2 月4,木1 木3,月1 月3
ミッドライフタワー青森駅前,11,月 木,水2 水4,金2 金4,水1 水3
緑・青葉,4,火 金,木1 木3,月2 月4,木2 木4
みどりヶ丘,9,火 金,木2 木4,水2 水4,木1 木3
緑町,11,月 木,水2 水4,金2 金4,水1 水3
港町,7,月 木,火2 火4,金1 金3,火1 火3
南旭町,5,月 木,金1 金3,火1 火3,金2 金4
南後潟,3,火 金,水1 水3,月1 月3,水2 水4
南片岡,2,月 木,火1 火3,水1 水3,火2 火4
南金沢,5,月 木,金1 金3,火1 火3,金2 金4
南桜川団地,6,火 金,月2 月4,木1 木3,月1 月3
南信用町,5,月 木,金1 金3,火1 火3,金2 金4
南千刈,7,月 木,火2 火4,金1 金3,火1 火3
南佃,2,月 木,火1 火3,水1 水3,火2 火4
南造道,7,月 木,火2 火4,金1 金3,火1 火3
南平岡,9,火 金,木2 木4,水2 水4,木1 木3
南三上町,5,月 木,金1 金3,火1 火3,金2 金4
南八ッ橋,6,火 金,月2 月4,木1 木3,月1 月3
南柳町,11,月 木,水2 水4,金2 金4,水1 水3
みはらし,10,月 木,金2 金4,火2 火4,金1 金3
宮田,3,火 金,水1 水3,月1 月3,水2 水4
妙見第一,4,火 金,木1 木3,月2 月4,木2 木4
妙見第三,4,火 金,木1 木3,月2 月4,木2 木4
妙見第二,4,火 金,木1 木3,月2 月4,木2 木4
妙見第四,4,火 金,木1 木3,月2 月4,木2 木4
三好,10,月 木,金2 金4,火2 火4,金1 金3
みよしの,10,月 木,金2 金4,火2 火4,金1 金3
向野沢,12,金,木3,水3,木2
メールママン,5,月 木,金1 金3,火1 火3,金2 金4
メゾンオーラ青森,11,月 木,水2 水4,金2 金4,水1 水3
メゾンセラフィック,6,火 金,月2 月4,木1 木3,月1 月3
本泉,5,月 木,金1 金3,火1 火3,金2 金4
雲谷,4,火 金,木1 木3,月2 月4,木2 木4
八重田,5,月 木,金1 金3,火1 火3,金2 金4
八雲,8,月 木,水2 水4,金2 金4,水1 水3
矢作,5,月 木,金1 金3,火1 火3,金2 金4
安方,11,月 木,水2 水4,金2 金4,水1 水3
安田,4,火 金,木1 木3,月2 月4,木2 木4
矢田,3,火 金,水1 水3,月1 月3,水2 水4
矢田前,5,月 木,金1 金3,火1 火3,金2 金4
八ッ橋ニュータウン,6,火 金,月2 月4,木1 木3,月1 月3
八ッ役,4,火 金,木1 木3,月2 月4,木2 木4
柳町,11,月 木,水2 水4,金2 金4,水1 水3
やはぎ,4,火 金,木1 木3,月2 月4,木2 木4
八幡林,3,火 金,水1 水3,月1 月3,水2 水4
山田町,5,月 木,金1 金3,火1 火3,金2 金4
山の手,1,火 金,月1 月3,木2 木4,月2 月4
横内,4,火 金,木1 木3,月2 月4,木2 木4
横山町,11,月 木,水2 水4,金2 金4,水1 水3
嘉重町,11,月 木,水2 水4,金2 金4,水1 水3
四ッ石,9,火 金,木2 木4,水2 水4,木1 木3
ライオンズマンション平和公園,1,火 金,月1 月3,木2 木4,月2 月4
陸上自衛隊居住隊舎,4,火 金,木1 木3,月2 月4,木2 木4
リビングタウン大野自治会,2,月 木,火1 火3,水1 水3,火2 火4
㈱レオパレス自治会,6,火 金,月2 月4,木1 木3,月1 月3
レオパレス西滝,6,火 金,月2 月4,木1 木3,月1 月3
㈱レオパレス野木和,1,火 金,月1 月3,木2 木4,月2 月4
レオパレス マ メゾン自治会,5,月 木,金1 金3,火1 火3,金2 金4
㈱レオパレスヤマタケ,5,月 木,金1 金3,火1 火3,金2 金4
ロイヤル・シャトウ・ヴィル,7,月 木,火2 火4,金1 金3,火1 火3
ロイヤルコート安田,4,火 金,木1 木3,月2 月4,木2 木4
ロイヤルシャトー浦町,4,火 金,木1 木3,月2 月4,木2 木4
ロイヤル鳴滝,5,月 木,金1 金3,火1 火3,金2 金4
六枚橋,3,火 金,水1 水3,月1 月3,水2 水4
若木,5,月 木,金1 金3,火1 火3,金2 金4
若葉町,2,月 木,火1 火3,水1 水3,火2 火4
若宮,2,月 木,火1 火3,水1 水3,火2 火4
渡辺自治会,12,金,木3,水3,木2
